Nom du journal,Lien
test,lien_test
le monde,www.lemonde.fr
liberation,www.liberation.fr
le figaro,www.lefigaro.fr
les echos,www.lesechos.fr/
la tribune,www.latribune.fr
l’humanite,www.humanite.fr
la croix,www.la-croix.com
dernieres nouvelles d’alsace,www.dna.fr
france antilles,www.franceantilles.fr/
le courrier picard,www.courrier-picard.fr
le progres de lyon,www.leprogres.fr
nice-matin,www.nicematin.com
ouest-france,www.ouest-france.fr
le dauphine libere,www.ledauphine.com
midi libre,www.midilibre.com
le parisien,www.leparisien.fr
la provence,www.laprovence.com
le republicain lorrain,www.republicain-lorrain.fr
sud-ouest,www.sudouest.fr
la voix du nord,www.lavoixdunord.fr
l’express,www.lexpress.fr
le point,www.lepoint.fr
le nouvel observateur,www.nouvelobs.com
l’expansion,www.lexpansion.com
paris match,www.parismatch.com
elle,www.elle.fr
tf1, www.tf1.fr
france 2,www.france2.fr
france 3,www.france3.fr
canal +,www.canalplus.fr
france 5,www.france5.fr
arte,www.arte.tv
m6,www.m6.fr
tv5,www.tv5.org
lci,www.lci.fr
france 24,www.france24.com
radio france internationale,www.rfi.fr
radio france internationale,www.radiofrance.fr
rtl,www.rtl.fr
Europe 1,www.europe1.fr
agence france presse – afp,www.afp.com
